,sku,brand,nest,Price,ACV,Date,Sales_Volume
83,SKU_01,Brand_A,Soda,1.36,0.82,2023-04-24,32129
84,SKU_02,Brand_A,Soda,2.53,0.67,2023-04-24,1154
85,SKU_04,Brand_C,Soda,1.49,0.81,2023-04-24,17822
86,SKU_06,Brand_D,Juice,2.85,0.86,2023-04-24,355
87,SKU_07,Brand_E,Juice,3.17,0.66,2023-04-24,94
88,SKU_01,Brand_A,Soda,1.53,0.89,2023-05-01,17658
89,SKU_02,Brand_A,Soda,2.48,0.77,2023-05-01,1032
90,SKU_03,Brand_B,Soda,1.29,0.81,2023-05-01,18718
91,SKU_04,Brand_C,Soda,1.45,0.61,2023-05-01,10549
92,SKU_06,Brand_D,Juice,3.12,0.98,2023-05-01,134
93,SKU_07,Brand_E,Juice,3.47,0.69,2023-05-01,48
94,SKU_01,Brand_A,Soda,1.58,0.82,2023-05-08,17072
95,SKU_02,Brand_A,Soda,2.41,0.67,2023-05-08,1069
96,SKU_03,Brand_B,Soda,1.33,0.74,2023-05-08,14625
97,SKU_04,Brand_C,Soda,1.55,1.0,2023-05-08,18512
98,SKU_06,Brand_D,Juice,2.82,0.64,2023-05-08,213
99,SKU_07,Brand_E,Juice,3.71,0.95,2023-05-08,25
100,SKU_01,Brand_A,Soda,1.64,0.86,2023-05-15,16394
101,SKU_02,Brand_A,Soda,2.3,0.6,2023-05-15,2193
102,SKU_03,Brand_B,Soda,1.4,0.73,2023-05-15,16478
103,SKU_04,Brand_C,Soda,1.69,0.78,2023-05-15,10777
104,SKU_06,Brand_D,Juice,2.75,0.79,2023-05-15,346
105,SKU_07,Brand_E,Juice,3.78,0.78,2023-05-15,35
106,SKU_01,Brand_A,Soda,1.35,0.95,2023-05-22,25816
107,SKU_02,Brand_A,Soda,2.5,0.68,2023-05-22,835
108,SKU_03,Brand_B,Soda,1.43,0.87,2023-05-22,11064
109,SKU_04,Brand_C,Soda,1.5,0.61,2023-05-22,10395
110,SKU_06,Brand_D,Juice,3.19,0.94,2023-05-22,126
111,SKU_07,Brand_E,Juice,3.36,0.99,2023-05-22,54
112,SKU_01,Brand_A,Soda,1.54,0.8,2023-05-29,19780
113,SKU_02,Brand_A,Soda,2.7,0.98,2023-05-29,1021
114,SKU_03,Brand_B,Soda,1.47,0.7,2023-05-29,9211
115,SKU_04,Brand_C,Soda,1.54,0.9,2023-05-29,15983
116,SKU_07,Brand_E,Juice,3.56,0.93,2023-05-29,72
117,SKU_01,Brand_A,Soda,1.61,0.93,2023-06-05,44898
118,SKU_02,Brand_A,Soda,2.38,0.65,2023-06-05,4146
119,SKU_06,Brand_D,Juice,3.25,0.98,2023-06-05,433
120,SKU_07,Brand_E,Juice,3.26,0.77,2023-06-05,223
121,SKU_01,Brand_A,Soda,1.52,0.61,2023-06-12,10903
122,SKU_02,Brand_A,Soda,2.71,0.82,2023-06-12,768
123,SKU_03,Brand_B,Soda,1.38,0.68,2023-06-12,10299
124,SKU_04,Brand_C,Soda,1.46,0.79,2023-06-12,14995
125,SKU_06,Brand_D,Juice,2.92,0.63,2023-06-12,156
126,SKU_07,Brand_E,Juice,3.75,0.99,2023-06-12,25
127,SKU_01,Brand_A,Soda,1.5,0.9,2023-06-19,27769
128,SKU_02,Brand_A,Soda,2.54,0.83,2023-06-19,1723
129,SKU_03,Brand_B,Soda,1.49,0.91,2023-06-19,17020
130,SKU_06,Brand_D,Juice,3.02,0.84,2023-06-19,318
131,SKU_07,Brand_E,Juice,3.62,0.99,2023-06-19,56
132,SKU_02,Brand_A,Soda,2.56,0.73,2023-06-26,1808
133,SKU_03,Brand_B,Soda,1.46,0.64,2023-06-26,14587
134,SKU_04,Brand_C,Soda,1.62,0.9,2023-06-26,22288
135,SKU_06,Brand_D,Juice,3.14,0.87,2023-06-26,268
136,SKU_07,Brand_E,Juice,3.4,0.68,2023-06-26,69
137,SKU_01,Brand_A,Soda,1.49,0.95,2023-07-03,13253
138,SKU_02,Brand_A,Soda,2.7,0.9,2023-07-03,520
139,SKU_03,Brand_B,Soda,1.27,0.81,2023-07-03,17376
140,SKU_04,Brand_C,Soda,1.49,0.65,2023-07-03,7971
141,SKU_06,Brand_D,Juice,2.93,0.75,2023-07-03,125
142,SKU_01,Brand_A,Soda,1.57,0.83,2023-07-10,11887
143,SKU_03,Brand_B,Soda,1.39,1.0,2023-07-10,14263
144,SKU_04,Brand_C,Soda,1.52,0.74,2023-07-10,13136
145,SKU_07,Brand_E,Juice,3.44,0.77,2023-07-10,35
146,SKU_01,Brand_A,Soda,1.5,0.84,2023-07-17,13841
147,SKU_02,Brand_A,Soda,2.45,0.93,2023-07-17,1138
148,SKU_03,Brand_B,Soda,1.4,0.61,2023-07-17,8469
149,SKU_04,Brand_C,Soda,1.51,0.72,2023-07-17,9002
150,SKU_06,Brand_D,Juice,2.75,0.79,2023-07-17,257
151,SKU_01,Brand_A,Soda,1.5,0.83,2023-07-24,11429
152,SKU_03,Brand_B,Soda,1.36,0.67,2023-07-24,8652
153,SKU_04,Brand_C,Soda,1.44,0.76,2023-07-24,12013
154,SKU_06,Brand_D,Juice,3.22,0.85,2023-07-24,64
155,SKU_07,Brand_E,Juice,3.4,0.63,2023-07-24,26
156,SKU_01,Brand_A,Soda,1.42,0.66,2023-07-31,18600
157,SKU_02,Brand_A,Soda,2.58,0.72,2023-07-31,752
158,SKU_03,Brand_B,Soda,1.51,0.63,2023-07-31,7427
159,SKU_06,Brand_D,Juice,2.91,0.9,2023-07-31,214
160,SKU_02,Brand_A,Soda,2.75,0.82,2023-08-07,790
161,SKU_03,Brand_B,Soda,1.5,0.67,2023-08-07,14027
162,SKU_04,Brand_C,Soda,1.66,0.63,2023-08-07,11270
163,SKU_06,Brand_D,Juice,3.27,0.8,2023-08-07,126
164,SKU_07,Brand_E,Juice,3.34,0.78,2023-08-07,86
165,SKU_06,Brand_D,Juice,3.15,0.92,2023-08-14,20397
166,SKU_07,Brand_E,Juice,3.27,0.65,2023-08-14,10754
167,SKU_01,Brand_A,Soda,1.46,0.62,2023-08-21,10146
168,SKU_02,Brand_A,Soda,2.61,0.89,2023-08-21,666
169,SKU_03,Brand_B,Soda,1.38,0.65,2023-08-21,7228
170,SKU_04,Brand_C,Soda,1.6,0.88,2023-08-21,7615
171,SKU_06,Brand_D,Juice,3.06,0.99,2023-08-21,155
172,SKU_07,Brand_E,Juice,3.62,0.96,2023-08-21,28
173,SKU_01,Brand_A,Soda,1.36,0.69,2023-08-28,11518
174,SKU_03,Brand_B,Soda,1.4,0.61,2023-08-28,6532
175,SKU_04,Brand_C,Soda,1.53,0.65,2023-08-28,6085
176,SKU_07,Brand_E,Juice,3.22,0.6,2023-08-28,29
177,SKU_01,Brand_A,Soda,1.41,0.93,2023-09-04,12526
178,SKU_02,Brand_A,Soda,2.73,0.86,2023-09-04,338
179,SKU_03,Brand_B,Soda,1.34,0.94,2023-09-04,10005
180,SKU_04,Brand_C,Soda,1.44,0.98,2023-09-04,11277
181,SKU_06,Brand_D,Juice,3.17,0.7,2023-09-04,48
182,SKU_01,Brand_A,Soda,1.6,0.9,2023-09-11,15348
183,SKU_02,Brand_A,Soda,2.71,0.99,2023-09-11,684
184,SKU_04,Brand_C,Soda,1.51,0.7,2023-09-11,12358
185,SKU_06,Brand_D,Juice,3.01,0.68,2023-09-11,130
186,SKU_01,Brand_A,Soda,1.53,0.65,2023-09-18,14637
187,SKU_02,Brand_A,Soda,2.46,0.84,2023-09-18,1281
188,SKU_04,Brand_C,Soda,1.75,0.77,2023-09-18,8475
189,SKU_06,Brand_D,Juice,3.14,0.82,2023-09-18,136
190,SKU_01,Brand_A,Soda,1.45,0.63,2023-09-25,8674
191,SKU_02,Brand_A,Soda,2.68,0.7,2023-09-25,354
192,SKU_03,Brand_B,Soda,1.47,0.67,2023-09-25,6076
193,SKU_04,Brand_C,Soda,1.51,0.88,2023-09-25,10225
194,SKU_06,Brand_D,Juice,3.27,0.72,2023-09-25,46
195,SKU_07,Brand_E,Juice,3.33,0.74,2023-09-25,26
196,SKU_01,Brand_A,Soda,1.42,0.61,2023-10-02,11304
197,SKU_02,Brand_A,Soda,2.7,0.67,2023-10-02,395
198,SKU_03,Brand_B,Soda,1.27,0.83,2023-10-02,13172
199,SKU_06,Brand_D,Juice,3.11,0.67,2023-10-02,106
200,SKU_07,Brand_E,Juice,3.79,0.76,2023-10-02,15
201,SKU_01,Brand_A,Soda,1.37,0.99,2023-10-09,23369
202,SKU_03,Brand_B,Soda,1.53,0.88,2023-10-09,10111
203,SKU_06,Brand_D,Juice,3.1,0.98,2023-10-09,154
204,SKU_01,Brand_A,Soda,1.59,0.74,2023-10-16,8631
205,SKU_02,Brand_A,Soda,2.67,0.93,2023-10-16,662
206,SKU_03,Brand_B,Soda,1.52,0.69,2023-10-16,5961
207,SKU_04,Brand_C,Soda,1.53,0.9,2023-10-16,12968
208,SKU_06,Brand_D,Juice,2.75,0.97,2023-10-16,323
209,SKU_07,Brand_E,Juice,3.39,0.79,2023-10-16,45
210,SKU_02,Brand_A,Soda,2.25,0.74,2023-10-23,2706
211,SKU_03,Brand_B,Soda,1.51,0.64,2023-10-23,10086
212,SKU_04,Brand_C,Soda,1.64,0.82,2023-10-23,13919
213,SKU_06,Brand_D,Juice,2.97,0.91,2023-10-23,241
214,SKU_07,Brand_E,Juice,3.63,0.96,2023-10-23,28
215,SKU_01,Brand_A,Soda,1.58,0.76,2023-10-30,11828
216,SKU_03,Brand_B,Soda,1.53,0.7,2023-10-30,6177
217,SKU_04,Brand_C,Soda,1.6,0.65,2023-10-30,8510
218,SKU_06,Brand_D,Juice,3.3,0.83,2023-10-30,90
219,SKU_07,Brand_E,Juice,3.55,0.89,2023-10-30,20
220,SKU_01,Brand_A,Soda,1.54,0.68,2023-11-06,9099
221,SKU_03,Brand_B,Soda,1.45,0.8,2023-11-06,7198
222,SKU_04,Brand_C,Soda,1.46,0.69,2023-11-06,11264
223,SKU_06,Brand_D,Juice,2.81,0.74,2023-11-06,239
224,SKU_07,Brand_E,Juice,3.53,0.81,2023-11-06,27
225,SKU_02,Brand_A,Soda,2.55,0.66,2023-11-13,1029
226,SKU_03,Brand_B,Soda,1.42,0.84,2023-11-13,15998
227,SKU_04,Brand_C,Soda,1.53,0.95,2023-11-13,18053
228,SKU_06,Brand_D,Juice,2.91,0.91,2023-11-13,278
229,SKU_01,Brand_A,Soda,1.41,0.75,2023-11-20,12946
230,SKU_02,Brand_A,Soda,2.61,0.67,2023-11-20,600
231,SKU_03,Brand_B,Soda,1.44,0.68,2023-11-20,6611
232,SKU_04,Brand_C,Soda,1.53,0.75,2023-11-20,9997
233,SKU_06,Brand_D,Juice,3.12,0.69,2023-11-20,79
234,SKU_07,Brand_E,Juice,3.25,0.89,2023-11-20,60
235,SKU_02,Brand_A,Soda,2.67,0.97,2023-11-27,1241
236,SKU_03,Brand_B,Soda,1.52,0.93,2023-11-27,13664
237,SKU_04,Brand_C,Soda,1.46,0.6,2023-11-27,15969
238,SKU_06,Brand_D,Juice,2.85,0.89,2023-11-27,397
239,SKU_07,Brand_E,Juice,3.47,0.65,2023-11-27,40
240,SKU_01,Brand_A,Soda,1.42,0.9,2023-12-04,12871
241,SKU_02,Brand_A,Soda,2.37,0.81,2023-12-04,874
242,SKU_03,Brand_B,Soda,1.3,0.84,2023-12-04,12142
243,SKU_04,Brand_C,Soda,1.45,0.88,2023-12-04,13423
244,SKU_06,Brand_D,Juice,3.03,0.91,2023-12-04,160
245,SKU_07,Brand_E,Juice,3.81,0.82,2023-12-04,13
246,SKU_02,Brand_A,Soda,2.46,0.64,2023-12-11,1815
247,SKU_03,Brand_B,Soda,1.33,0.82,2023-12-11,35050
248,SKU_06,Brand_D,Juice,3.19,0.61,2023-12-11,158
249,SKU_07,Brand_E,Juice,3.19,0.73,2023-12-11,159
250,SKU_01,Brand_A,Soda,1.44,0.88,2023-12-18,16124
251,SKU_02,Brand_A,Soda,2.4,0.76,2023-12-18,1017
252,SKU_03,Brand_B,Soda,1.41,0.95,2023-12-18,12346
253,SKU_04,Brand_C,Soda,1.44,0.7,2023-12-18,10677
254,SKU_06,Brand_D,Juice,3.2,0.69,2023-12-18,88
255,SKU_07,Brand_E,Juice,3.35,0.65,2023-12-18,46
256,SKU_01,Brand_A,Soda,1.43,0.86,2023-12-25,16271
257,SKU_02,Brand_A,Soda,2.26,0.95,2023-12-25,2128
258,SKU_03,Brand_B,Soda,1.35,0.88,2023-12-25,12156
259,SKU_04,Brand_C,Soda,1.51,0.9,2023-12-25,12902
260,SKU_06,Brand_D,Juice,2.7,0.71,2023-12-25,198
261,SKU_07,Brand_E,Juice,3.81,0.73,2023-12-25,13
262,SKU_01,Brand_A,Soda,1.36,0.64,2024-01-01,12507
263,SKU_02,Brand_A,Soda,2.59,0.95,2024-01-01,808
264,SKU_03,Brand_B,Soda,1.37,0.69,2024-01-01,9725
265,SKU_04,Brand_C,Soda,1.47,0.95,2024-01-01,15767
266,SKU_06,Brand_D,Juice,3.15,1.0,2024-01-01,107
267,SKU_07,Brand_E,Juice,3.35,0.97,2024-01-01,52
268,SKU_02,Brand_A,Soda,2.57,0.79,2024-01-08,1463
269,SKU_03,Brand_B,Soda,1.37,0.82,2024-01-08,22520
270,SKU_04,Brand_C,Soda,1.63,0.95,2024-01-08,22427
271,SKU_06,Brand_D,Juice,3.27,0.65,2024-01-08,112
272,SKU_07,Brand_E,Juice,3.31,0.85,2024-01-08,132
273,SKU_01,Brand_A,Soda,1.59,0.73,2024-01-15,16010
274,SKU_02,Brand_A,Soda,2.55,0.97,2024-01-15,1612
275,SKU_03,Brand_B,Soda,1.44,0.68,2024-01-15,12428
276,SKU_04,Brand_C,Soda,1.74,0.77,2024-01-15,10153
277,SKU_07,Brand_E,Juice,3.72,0.77,2024-01-15,38
278,SKU_01,Brand_A,Soda,1.44,0.76,2024-01-22,18659
279,SKU_02,Brand_A,Soda,2.73,0.61,2024-01-22,537
280,SKU_03,Brand_B,Soda,1.43,0.61,2024-01-22,9484
281,SKU_04,Brand_C,Soda,1.59,0.71,2024-01-22,11154
282,SKU_06,Brand_D,Juice,3.03,0.73,2024-01-22,162
283,SKU_07,Brand_E,Juice,3.18,0.61,2024-01-22,113
284,SKU_01,Brand_A,Soda,1.55,0.85,2024-01-29,21237
285,SKU_02,Brand_A,Soda,2.67,0.76,2024-01-29,919
286,SKU_03,Brand_B,Soda,1.53,0.7,2024-01-29,12297
287,SKU_04,Brand_C,Soda,1.69,0.71,2024-01-29,10435
288,SKU_07,Brand_E,Juice,3.62,0.84,2024-01-29,36
289,SKU_01,Brand_A,Soda,1.42,0.69,2024-02-05,25799
290,SKU_02,Brand_A,Soda,2.34,0.76,2024-02-05,2309
291,SKU_04,Brand_C,Soda,1.64,0.69,2024-02-05,13413
292,SKU_06,Brand_D,Juice,3.12,0.69,2024-02-05,162
293,SKU_07,Brand_E,Juice,3.25,0.61,2024-02-05,83
294,SKU_01,Brand_A,Soda,1.41,0.89,2024-02-12,27888
295,SKU_03,Brand_B,Soda,1.37,0.61,2024-02-12,10744
296,SKU_04,Brand_C,Soda,1.66,0.91,2024-02-12,11292
297,SKU_06,Brand_D,Juice,2.78,0.66,2024-02-12,290
298,SKU_07,Brand_E,Juice,3.6,0.84,2024-02-12,44
299,SKU_01,Brand_A,Soda,1.49,0.69,2024-02-19,23953
300,SKU_02,Brand_A,Soda,2.53,0.63,2024-02-19,1091
301,SKU_04,Brand_C,Soda,1.52,0.79,2024-02-19,20536
302,SKU_06,Brand_D,Juice,3.08,0.75,2024-02-19,166
303,SKU_07,Brand_E,Juice,3.55,0.83,2024-02-19,59
304,SKU_01,Brand_A,Soda,1.56,0.63,2024-02-26,14019
305,SKU_02,Brand_A,Soda,2.38,0.96,2024-02-26,2795
306,SKU_03,Brand_B,Soda,1.44,0.69,2024-02-26,15469
307,SKU_04,Brand_C,Soda,1.7,0.68,2024-02-26,10087
308,SKU_06,Brand_D,Juice,2.77,0.93,2024-02-26,556
309,SKU_01,Brand_A,Soda,1.36,0.61,2024-03-04,18089
310,SKU_02,Brand_A,Soda,2.66,0.74,2024-03-04,751
311,SKU_03,Brand_B,Soda,1.26,0.82,2024-03-04,19510
312,SKU_04,Brand_C,Soda,1.7,0.76,2024-03-04,7138
313,SKU_06,Brand_D,Juice,2.8,0.76,2024-03-04,241
314,SKU_07,Brand_E,Juice,3.78,0.76,2024-03-04,18
315,SKU_01,Brand_A,Soda,1.56,0.93,2024-03-11,21504
316,SKU_02,Brand_A,Soda,2.62,0.76,2024-03-11,1120
317,SKU_03,Brand_B,Soda,1.4,0.67,2024-03-11,14185
318,SKU_04,Brand_C,Soda,1.64,0.98,2024-03-11,17462
319,SKU_06,Brand_D,Juice,2.83,0.8,2024-03-11,426
320,SKU_07,Brand_E,Juice,3.65,0.85,2024-03-11,52
321,SKU_01,Brand_A,Soda,1.65,0.86,2024-03-18,16658
322,SKU_02,Brand_A,Soda,2.41,0.99,2024-03-18,2154
323,SKU_03,Brand_B,Soda,1.4,0.9,2024-03-18,22160
324,SKU_04,Brand_C,Soda,1.66,0.61,2024-03-18,10998
325,SKU_06,Brand_D,Juice,2.91,0.94,2024-03-18,312
326,SKU_07,Brand_E,Juice,3.5,0.79,2024-03-18,46
327,SKU_01,Brand_A,Soda,1.39,0.96,2024-03-25,32614
328,SKU_02,Brand_A,Soda,2.7,0.8,2024-03-25,679
329,SKU_03,Brand_B,Soda,1.38,0.73,2024-03-25,12370
330,SKU_04,Brand_C,Soda,1.62,0.78,2024-03-25,9927
331,SKU_06,Brand_D,Juice,2.82,0.68,2024-03-25,189
332,SKU_02,Brand_A,Soda,2.31,0.96,2024-04-01,4064
333,SKU_03,Brand_B,Soda,1.35,0.97,2024-04-01,34304
334,SKU_04,Brand_C,Soda,1.57,0.91,2024-04-01,22386
335,SKU_06,Brand_D,Juice,2.87,0.61,2024-04-01,318
336,SKU_07,Brand_E,Juice,3.58,0.9,2024-04-01,49
337,SKU_01,Brand_A,Soda,1.65,0.63,2024-04-08,12395
338,SKU_03,Brand_B,Soda,1.36,0.93,2024-04-08,24034
339,SKU_04,Brand_C,Soda,1.67,0.95,2024-04-08,17614
340,SKU_06,Brand_D,Juice,2.87,0.85,2024-04-08,352
341,SKU_07,Brand_E,Juice,3.73,0.8,2024-04-08,30
342,SKU_01,Brand_A,Soda,1.35,0.63,2024-04-15,19436
343,SKU_02,Brand_A,Soda,2.58,0.91,2024-04-15,954
344,SKU_03,Brand_B,Soda,1.33,0.81,2024-04-15,15424
345,SKU_04,Brand_C,Soda,1.7,0.65,2024-04-15,8483
346,SKU_06,Brand_D,Juice,3.19,0.74,2024-04-15,119
347,SKU_07,Brand_E,Juice,3.22,0.72,2024-04-15,87
348,SKU_01,Brand_A,Soda,1.63,0.82,2024-04-22,12940
349,SKU_02,Brand_A,Soda,2.64,0.79,2024-04-22,899
350,SKU_03,Brand_B,Soda,1.28,0.71,2024-04-22,16565
351,SKU_04,Brand_C,Soda,1.45,0.8,2024-04-22,18197
352,SKU_06,Brand_D,Juice,2.87,0.91,2024-04-22,235
353,SKU_07,Brand_E,Juice,3.17,0.61,2024-04-22,83
354,SKU_01,Brand_A,Soda,1.46,0.61,2024-04-29,24929
355,SKU_02,Brand_A,Soda,2.26,0.64,2024-04-29,2392
356,SKU_04,Brand_C,Soda,1.65,0.99,2024-04-29,17113
357,SKU_06,Brand_D,Juice,2.72,0.93,2024-04-29,551
358,SKU_01,Brand_A,Soda,1.42,0.76,2024-05-06,29195
359,SKU_02,Brand_A,Soda,2.39,0.81,2024-05-06,2443
360,SKU_04,Brand_C,Soda,1.66,0.82,2024-05-06,15573
361,SKU_06,Brand_D,Juice,2.77,0.95,2024-05-06,684
362,SKU_07,Brand_E,Juice,3.81,0.72,2024-05-06,34
363,SKU_01,Brand_A,Soda,1.47,0.8,2024-05-13,22699
364,SKU_02,Brand_A,Soda,2.69,0.78,2024-05-13,935
365,SKU_04,Brand_C,Soda,1.45,0.8,2024-05-13,24255
366,SKU_07,Brand_E,Juice,3.65,0.91,2024-05-13,34
367,SKU_02,Brand_A,Soda,2.36,0.94,2024-05-20,3271
368,SKU_03,Brand_B,Soda,1.52,0.62,2024-05-20,16776
369,SKU_04,Brand_C,Soda,1.61,0.77,2024-05-20,21357
370,SKU_06,Brand_D,Juice,3.28,0.92,2024-05-20,213
371,SKU_07,Brand_E,Juice,3.2,0.91,2024-05-20,165
372,SKU_01,Brand_A,Soda,1.43,0.78,2024-05-27,19183
373,SKU_02,Brand_A,Soda,2.69,0.71,2024-05-27,654
374,SKU_03,Brand_B,Soda,1.33,0.85,2024-05-27,13157
375,SKU_04,Brand_C,Soda,1.6,0.97,2024-05-27,15272
376,SKU_06,Brand_D,Juice,3.26,0.9,2024-05-27,84
377,SKU_07,Brand_E,Juice,3.35,0.69,2024-05-27,32
378,SKU_01,Brand_A,Soda,1.65,0.66,2024-06-03,8876
379,SKU_02,Brand_A,Soda,2.5,0.67,2024-06-03,776
380,SKU_03,Brand_B,Soda,1.35,0.9,2024-06-03,17648
381,SKU_04,Brand_C,Soda,1.46,0.84,2024-06-03,17583
382,SKU_06,Brand_D,Juice,3.05,0.84,2024-06-03,156
383,SKU_07,Brand_E,Juice,3.58,0.65,2024-06-03,29
384,SKU_01,Brand_A,Soda,1.39,0.82,2024-06-10,26160
385,SKU_03,Brand_B,Soda,1.33,0.65,2024-06-10,13966
386,SKU_06,Brand_D,Juice,3.1,0.96,2024-06-10,185
387,SKU_07,Brand_E,Juice,3.5,0.7,2024-06-10,40
388,SKU_01,Brand_A,Soda,1.46,0.97,2024-06-17,21840
389,SKU_02,Brand_A,Soda,2.63,0.68,2024-06-17,654
390,SKU_03,Brand_B,Soda,1.42,0.77,2024-06-17,12625
