,Date,SKU,Brand,Manufacturer,Nest,Price,ACV,Sales_Volume
41,2023-02-06,SKU_07,Brand_E,NatureDrink,Juice,3.71,0.75,26
42,2023-02-13,SKU_01,Brand_A,BigFizz,Soda,1.4,0.78,20260
43,2023-02-13,SKU_02,Brand_A,BigFizz,Soda,2.54,0.55,702
44,2023-02-13,SKU_03,Brand_B,BigFizz,Soda,1.43,1.0,14525
45,2023-02-13,SKU_04,Brand_C,PopCorp,Soda,1.72,0.87,7969
46,2023-02-13,SKU_05,Brand_C,PopCorp,Soda,1.66,0.85,8893
48,2023-02-13,SKU_07,Brand_E,NatureDrink,Juice,3.76,0.96,30
49,2023-02-20,SKU_01,Brand_A,BigFizz,Soda,1.39,0.76,18364
52,2023-02-20,SKU_04,Brand_C,PopCorp,Soda,1.61,0.82,7654
53,2023-02-20,SKU_05,Brand_C,PopCorp,Soda,1.69,0.64,6073
54,2023-02-20,SKU_06,Brand_D,NatureDrink,Juice,2.96,0.54,43
55,2023-02-20,SKU_07,Brand_E,NatureDrink,Juice,3.44,0.59,5
56,2023-02-27,SKU_01,Brand_A,BigFizz,Soda,1.49,0.55,8317
58,2023-02-27,SKU_03,Brand_B,BigFizz,Soda,1.37,0.81,13556
59,2023-02-27,SKU_04,Brand_C,PopCorp,Soda,1.56,0.81,12970
61,2023-02-27,SKU_06,Brand_D,NatureDrink,Juice,2.74,0.82,349
62,2023-02-27,SKU_07,Brand_E,NatureDrink,Juice,3.17,0.79,80
63,2023-03-06,SKU_01,Brand_A,BigFizz,Soda,1.39,0.85,20126
64,2023-03-06,SKU_02,Brand_A,BigFizz,Soda,2.56,0.94,985
65,2023-03-06,SKU_03,Brand_B,BigFizz,Soda,1.34,0.59,9440
66,2023-03-06,SKU_04,Brand_C,PopCorp,Soda,1.68,0.9,8621
68,2023-03-06,SKU_06,Brand_D,NatureDrink,Juice,2.9,0.97,197
69,2023-03-06,SKU_07,Brand_E,NatureDrink,Juice,3.68,0.88,22
70,2023-03-13,SKU_01,Brand_A,BigFizz,Soda,1.55,0.88,13553
71,2023-03-13,SKU_02,Brand_A,BigFizz,Soda,2.3,0.75,1458
72,2023-03-13,SKU_03,Brand_B,BigFizz,Soda,1.28,0.77,14799
73,2023-03-13,SKU_04,Brand_C,PopCorp,Soda,1.55,0.56,7402
75,2023-03-13,SKU_06,Brand_D,NatureDrink,Juice,2.75,0.85,251
76,2023-03-13,SKU_07,Brand_E,NatureDrink,Juice,3.2,0.91,55
77,2023-03-20,SKU_01,Brand_A,BigFizz,Soda,1.57,0.79,10415
78,2023-03-20,SKU_02,Brand_A,BigFizz,Soda,2.73,0.69,424
79,2023-03-20,SKU_03,Brand_B,BigFizz,Soda,1.32,0.98,15226
80,2023-03-20,SKU_04,Brand_C,PopCorp,Soda,1.44,0.98,17843
81,2023-03-20,SKU_05,Brand_C,PopCorp,Soda,1.46,0.78,13280
82,2023-03-20,SKU_06,Brand_D,NatureDrink,Juice,3.28,0.76,82
83,2023-03-20,SKU_07,Brand_E,NatureDrink,Juice,3.47,0.81,45
84,2023-03-27,SKU_01,Brand_A,BigFizz,Soda,1.56,0.58,9213
85,2023-03-27,SKU_02,Brand_A,BigFizz,Soda,2.72,0.93,897
86,2023-03-27,SKU_03,Brand_B,BigFizz,Soda,1.27,0.51,13138
87,2023-03-27,SKU_04,Brand_C,PopCorp,Soda,1.76,0.58,5376
88,2023-03-27,SKU_05,Brand_C,PopCorp,Soda,1.63,0.69,9310
89,2023-03-27,SKU_06,Brand_D,NatureDrink,Juice,2.95,0.64,117
90,2023-03-27,SKU_07,Brand_E,NatureDrink,Juice,3.19,0.93,77
91,2023-04-03,SKU_01,Brand_A,BigFizz,Soda,1.52,0.78,13797
92,2023-04-03,SKU_02,Brand_A,BigFizz,Soda,2.69,0.7,582
93,2023-04-03,SKU_03,Brand_B,BigFizz,Soda,1.46,0.61,8738
94,2023-04-03,SKU_04,Brand_C,PopCorp,Soda,1.48,0.51,10061
96,2023-04-03,SKU_06,Brand_D,NatureDrink,Juice,3.24,0.67,87
98,2023-04-10,SKU_01,Brand_A,BigFizz,Soda,1.4,0.67,13925
99,2023-04-10,SKU_02,Brand_A,BigFizz,Soda,2.58,0.59,527
100,2023-04-10,SKU_03,Brand_B,BigFizz,Soda,1.31,0.52,7833
101,2023-04-10,SKU_04,Brand_C,PopCorp,Soda,1.5,0.54,7183
102,2023-04-10,SKU_05,Brand_C,PopCorp,Soda,1.48,0.73,10544
104,2023-04-10,SKU_07,Brand_E,NatureDrink,Juice,3.18,0.9,57
105,2023-04-17,SKU_01,Brand_A,BigFizz,Soda,1.5,0.77,13135
107,2023-04-17,SKU_03,Brand_B,BigFizz,Soda,1.34,0.69,10447
108,2023-04-17,SKU_04,Brand_C,PopCorp,Soda,1.45,0.66,10509
109,2023-04-17,SKU_05,Brand_C,PopCorp,Soda,1.48,0.95,13417
110,2023-04-17,SKU_06,Brand_D,NatureDrink,Juice,3.06,0.84,118
111,2023-04-17,SKU_07,Brand_E,NatureDrink,Juice,3.21,0.77,74
112,2023-04-24,SKU_01,Brand_A,BigFizz,Soda,1.4,0.95,20445
113,2023-04-24,SKU_02,Brand_A,BigFizz,Soda,2.46,0.99,1118
114,2023-04-24,SKU_03,Brand_B,BigFizz,Soda,1.29,0.7,11288
115,2023-04-24,SKU_04,Brand_C,PopCorp,Soda,1.49,0.83,13998
116,2023-04-24,SKU_05,Brand_C,PopCorp,Soda,1.74,0.78,5486
117,2023-04-24,SKU_06,Brand_D,NatureDrink,Juice,3.16,0.59,66
118,2023-04-24,SKU_07,Brand_E,NatureDrink,Juice,3.38,0.71,28
119,2023-05-01,SKU_01,Brand_A,BigFizz,Soda,1.49,0.71,13281
120,2023-05-01,SKU_02,Brand_A,BigFizz,Soda,2.42,0.96,1285
121,2023-05-01,SKU_03,Brand_B,BigFizz,Soda,1.52,0.59,5067
122,2023-05-01,SKU_04,Brand_C,PopCorp,Soda,1.46,0.87,15486
123,2023-05-01,SKU_05,Brand_C,PopCorp,Soda,1.48,0.9,14008
124,2023-05-01,SKU_06,Brand_D,NatureDrink,Juice,2.82,0.58,170
125,2023-05-01,SKU_07,Brand_E,NatureDrink,Juice,3.62,0.76,31
127,2023-05-08,SKU_02,Brand_A,BigFizz,Soda,2.7,0.89,687
128,2023-05-08,SKU_03,Brand_B,BigFizz,Soda,1.3,0.66,10615
129,2023-05-08,SKU_04,Brand_C,PopCorp,Soda,1.45,0.78,10728
130,2023-05-08,SKU_05,Brand_C,PopCorp,Soda,1.68,0.94,8760
131,2023-05-08,SKU_06,Brand_D,NatureDrink,Juice,2.77,0.92,413
132,2023-05-08,SKU_07,Brand_E,NatureDrink,Juice,3.24,0.7,78
133,2023-05-15,SKU_01,Brand_A,BigFizz,Soda,1.5,0.81,12973
134,2023-05-15,SKU_02,Brand_A,BigFizz,Soda,2.26,0.94,2170
135,2023-05-15,SKU_03,Brand_B,BigFizz,Soda,1.46,0.96,12577
136,2023-05-15,SKU_04,Brand_C,PopCorp,Soda,1.67,0.58,7325
138,2023-05-15,SKU_06,Brand_D,NatureDrink,Juice,3.26,0.96,81
139,2023-05-15,SKU_07,Brand_E,NatureDrink,Juice,3.84,0.92,15
140,2023-05-22,SKU_01,Brand_A,BigFizz,Soda,1.42,0.73,12503
141,2023-05-22,SKU_02,Brand_A,BigFizz,Soda,2.5,0.71,649
142,2023-05-22,SKU_03,Brand_B,BigFizz,Soda,1.52,0.68,6854
144,2023-05-22,SKU_05,Brand_C,PopCorp,Soda,1.5,0.98,12515
145,2023-05-22,SKU_06,Brand_D,NatureDrink,Juice,2.75,1.0,377
146,2023-05-22,SKU_07,Brand_E,NatureDrink,Juice,3.5,0.8,35
148,2023-05-29,SKU_02,Brand_A,BigFizz,Soda,2.26,0.58,1179
149,2023-05-29,SKU_03,Brand_B,BigFizz,Soda,1.27,0.61,11389
150,2023-05-29,SKU_04,Brand_C,PopCorp,Soda,1.51,0.84,10715
151,2023-05-29,SKU_05,Brand_C,PopCorp,Soda,1.65,0.62,6212
153,2023-05-29,SKU_07,Brand_E,NatureDrink,Juice,3.73,0.7,9
154,2023-06-05,SKU_01,Brand_A,BigFizz,Soda,1.54,0.7,9914
155,2023-06-05,SKU_02,Brand_A,BigFizz,Soda,2.4,0.97,1872
156,2023-06-05,SKU_03,Brand_B,BigFizz,Soda,1.47,0.57,7176
157,2023-06-05,SKU_04,Brand_C,PopCorp,Soda,1.73,0.9,10013
158,2023-06-05,SKU_05,Brand_C,PopCorp,Soda,1.58,0.51,7511
160,2023-06-05,SKU_07,Brand_E,NatureDrink,Juice,3.25,0.92,143
161,2023-06-12,SKU_01,Brand_A,BigFizz,Soda,1.4,0.96,17805
162,2023-06-12,SKU_02,Brand_A,BigFizz,Soda,2.46,0.69,632
163,2023-06-12,SKU_03,Brand_B,BigFizz,Soda,1.31,0.87,11044
164,2023-06-12,SKU_04,Brand_C,PopCorp,Soda,1.47,0.8,9482
165,2023-06-12,SKU_05,Brand_C,PopCorp,Soda,1.53,0.68,6321
166,2023-06-12,SKU_06,Brand_D,NatureDrink,Juice,3.13,0.65,82
167,2023-06-12,SKU_07,Brand_E,NatureDrink,Juice,3.61,0.97,44
168,2023-06-19,SKU_01,Brand_A,BigFizz,Soda,1.59,0.85,12294
169,2023-06-19,SKU_02,Brand_A,BigFizz,Soda,2.43,0.55,689
170,2023-06-19,SKU_03,Brand_B,BigFizz,Soda,1.52,0.57,5651
171,2023-06-19,SKU_04,Brand_C,PopCorp,Soda,1.5,0.77,12937
172,2023-06-19,SKU_05,Brand_C,PopCorp,Soda,1.72,0.87,8445
173,2023-06-19,SKU_06,Brand_D,NatureDrink,Juice,3.12,0.92,120
174,2023-06-19,SKU_07,Brand_E,NatureDrink,Juice,3.32,0.74,36
175,2023-06-26,SKU_01,Brand_A,BigFizz,Soda,1.42,0.56,9449
176,2023-06-26,SKU_02,Brand_A,BigFizz,Soda,2.29,0.85,1568
177,2023-06-26,SKU_03,Brand_B,BigFizz,Soda,1.28,0.66,9181
180,2023-06-26,SKU_06,Brand_D,NatureDrink,Juice,2.84,0.51,109
181,2023-06-26,SKU_07,Brand_E,NatureDrink,Juice,3.81,0.9,13
182,2023-07-03,SKU_01,Brand_A,BigFizz,Soda,1.47,0.84,13858
183,2023-07-03,SKU_02,Brand_A,BigFizz,Soda,2.72,0.73,402
184,2023-07-03,SKU_03,Brand_B,BigFizz,Soda,1.43,0.58,5816
185,2023-07-03,SKU_04,Brand_C,PopCorp,Soda,1.63,0.76,7227
187,2023-07-03,SKU_06,Brand_D,NatureDrink,Juice,3.17,0.68,59
188,2023-07-03,SKU_07,Brand_E,NatureDrink,Juice,3.19,0.98,100
189,2023-07-10,SKU_01,Brand_A,BigFizz,Soda,1.38,0.7,12234
190,2023-07-10,SKU_02,Brand_A,BigFizz,Soda,2.44,0.63,542
192,2023-07-10,SKU_04,Brand_C,PopCorp,Soda,1.66,0.54,3468
193,2023-07-10,SKU_05,Brand_C,PopCorp,Soda,1.59,0.8,6863
194,2023-07-10,SKU_06,Brand_D,NatureDrink,Juice,3.19,0.67,74
195,2023-07-10,SKU_07,Brand_E,NatureDrink,Juice,3.34,0.94,64
196,2023-07-17,SKU_01,Brand_A,BigFizz,Soda,1.4,0.91,15648
197,2023-07-17,SKU_02,Brand_A,BigFizz,Soda,2.25,0.64,1159
198,2023-07-17,SKU_03,Brand_B,BigFizz,Soda,1.43,0.99,8335
199,2023-07-17,SKU_04,Brand_C,PopCorp,Soda,1.64,0.77,7161
200,2023-07-17,SKU_05,Brand_C,PopCorp,Soda,1.69,0.55,4308
201,2023-07-17,SKU_06,Brand_D,NatureDrink,Juice,3.28,0.67,37
202,2023-07-17,SKU_07,Brand_E,NatureDrink,Juice,3.59,0.97,19
204,2023-07-24,SKU_02,Brand_A,BigFizz,Soda,2.6,0.61,472
205,2023-07-24,SKU_03,Brand_B,BigFizz,Soda,1.44,0.64,6127
206,2023-07-24,SKU_04,Brand_C,PopCorp,Soda,1.74,0.58,4547
207,2023-07-24,SKU_05,Brand_C,PopCorp,Soda,1.57,0.82,8843
209,2023-07-24,SKU_07,Brand_E,NatureDrink,Juice,3.78,0.61,8
210,2023-07-31,SKU_01,Brand_A,BigFizz,Soda,1.48,0.6,7014
211,2023-07-31,SKU_02,Brand_A,BigFizz,Soda,2.54,0.63,471
212,2023-07-31,SKU_03,Brand_B,BigFizz,Soda,1.48,0.66,4905
213,2023-07-31,SKU_04,Brand_C,PopCorp,Soda,1.46,0.7,8322
214,2023-07-31,SKU_05,Brand_C,PopCorp,Soda,1.59,0.8,7516
215,2023-07-31,SKU_06,Brand_D,NatureDrink,Juice,3.22,0.89,38
216,2023-07-31,SKU_07,Brand_E,NatureDrink,Juice,3.18,0.74,41
217,2023-08-07,SKU_01,Brand_A,BigFizz,Soda,1.38,0.82,13311
218,2023-08-07,SKU_02,Brand_A,BigFizz,Soda,2.6,0.52,404
219,2023-08-07,SKU_03,Brand_B,BigFizz,Soda,1.5,0.86,6940
220,2023-08-07,SKU_04,Brand_C,PopCorp,Soda,1.7,0.67,4722
221,2023-08-07,SKU_05,Brand_C,PopCorp,Soda,1.7,0.73,5643
222,2023-08-07,SKU_06,Brand_D,NatureDrink,Juice,3.09,0.76,81
223,2023-08-07,SKU_07,Brand_E,NatureDrink,Juice,3.19,0.62,46
224,2023-08-14,SKU_01,Brand_A,BigFizz,Soda,1.57,0.87,8082
225,2023-08-14,SKU_02,Brand_A,BigFizz,Soda,2.44,0.99,1005
226,2023-08-14,SKU_03,Brand_B,BigFizz,Soda,1.27,0.93,11487
228,2023-08-14,SKU_05,Brand_C,PopCorp,Soda,1.72,0.95,5795
229,2023-08-14,SKU_06,Brand_D,NatureDrink,Juice,3.06,0.96,88
230,2023-08-14,SKU_07,Brand_E,NatureDrink,Juice,3.3,0.81,42
231,2023-08-21,SKU_01,Brand_A,BigFizz,Soda,1.43,0.83,9486
232,2023-08-21,SKU_02,Brand_A,BigFizz,Soda,2.41,0.89,646
233,2023-08-21,SKU_03,Brand_B,BigFizz,Soda,1.28,0.58,5578
234,2023-08-21,SKU_04,Brand_C,PopCorp,Soda,1.61,0.67,4162
235,2023-08-21,SKU_05,Brand_C,PopCorp,Soda,1.52,0.81,7728
236,2023-08-21,SKU_06,Brand_D,NatureDrink,Juice,3.12,0.58,35
237,2023-08-21,SKU_07,Brand_E,NatureDrink,Juice,3.48,0.92,33
238,2023-08-28,SKU_01,Brand_A,BigFizz,Soda,1.39,0.99,12855
239,2023-08-28,SKU_02,Brand_A,BigFizz,Soda,2.68,0.73,321
240,2023-08-28,SKU_03,Brand_B,BigFizz,Soda,1.4,0.74,5257
241,2023-08-28,SKU_04,Brand_C,PopCorp,Soda,1.45,0.65,6771
242,2023-08-28,SKU_05,Brand_C,PopCorp,Soda,1.67,0.6,3566
243,2023-08-28,SKU_06,Brand_D,NatureDrink,Juice,2.97,0.93,113
244,2023-08-28,SKU_07,Brand_E,NatureDrink,Juice,3.27,0.85,39
245,2023-09-04,SKU_01,Brand_A,BigFizz,Soda,1.57,0.94,9449
246,2023-09-04,SKU_02,Brand_A,BigFizz,Soda,2.45,0.66,537
247,2023-09-04,SKU_03,Brand_B,BigFizz,Soda,1.47,0.9,6526
248,2023-09-04,SKU_04,Brand_C,PopCorp,Soda,1.58,0.91,7096
249,2023-09-04,SKU_05,Brand_C,PopCorp,Soda,1.44,0.66,6620
250,2023-09-04,SKU_06,Brand_D,NatureDrink,Juice,2.92,0.7,61
252,2023-09-11,SKU_01,Brand_A,BigFizz,Soda,1.51,0.8,9369
254,2023-09-11,SKU_03,Brand_B,BigFizz,Soda,1.27,0.6,6938
255,2023-09-11,SKU_04,Brand_C,PopCorp,Soda,1.74,0.53,3090
256,2023-09-11,SKU_05,Brand_C,PopCorp,Soda,1.74,0.68,3767
257,2023-09-11,SKU_06,Brand_D,NatureDrink,Juice,2.85,0.64,41
258,2023-09-11,SKU_07,Brand_E,NatureDrink,Juice,3.37,0.9,15
259,2023-09-18,SKU_01,Brand_A,BigFizz,Soda,1.54,0.98,8586
260,2023-09-18,SKU_02,Brand_A,BigFizz,Soda,2.55,0.91,481
261,2023-09-18,SKU_03,Brand_B,BigFizz,Soda,1.32,0.81,7838
263,2023-09-18,SKU_05,Brand_C,PopCorp,Soda,1.52,0.89,7993
264,2023-09-18,SKU_06,Brand_D,NatureDrink,Juice,2.86,0.91,131
265,2023-09-18,SKU_07,Brand_E,NatureDrink,Juice,3.22,0.81,28
266,2023-09-25,SKU_01,Brand_A,BigFizz,Soda,1.39,0.85,10434
267,2023-09-25,SKU_02,Brand_A,BigFizz,Soda,2.61,0.85,394
268,2023-09-25,SKU_03,Brand_B,BigFizz,Soda,1.54,0.56,3376
269,2023-09-25,SKU_04,Brand_C,PopCorp,Soda,1.63,0.64,4295
271,2023-09-25,SKU_06,Brand_D,NatureDrink,Juice,2.91,0.53,49
272,2023-09-25,SKU_07,Brand_E,NatureDrink,Juice,3.51,0.53,20
273,2023-10-02,SKU_01,Brand_A,BigFizz,Soda,1.51,0.55,6444
275,2023-10-02,SKU_03,Brand_B,BigFizz,Soda,1.48,0.96,6036
276,2023-10-02,SKU_04,Brand_C,PopCorp,Soda,1.52,0.7,6956
277,2023-10-02,SKU_05,Brand_C,PopCorp,Soda,1.71,0.76,4882
278,2023-10-02,SKU_06,Brand_D,NatureDrink,Juice,3.07,0.54,35
279,2023-10-02,SKU_07,Brand_E,NatureDrink,Juice,3.73,0.89,14
280,2023-10-09,SKU_01,Brand_A,BigFizz,Soda,1.61,0.93,8895
281,2023-10-09,SKU_02,Brand_A,BigFizz,Soda,2.4,0.54,604
282,2023-10-09,SKU_03,Brand_B,BigFizz,Soda,1.37,0.59,5405
284,2023-10-09,SKU_05,Brand_C,PopCorp,Soda,1.7,0.57,4756
285,2023-10-09,SKU_06,Brand_D,NatureDrink,Juice,3.16,0.59,60
286,2023-10-09,SKU_07,Brand_E,NatureDrink,Juice,3.5,0.7,30
287,2023-10-16,SKU_01,Brand_A,BigFizz,Soda,1.65,0.53,4230
288,2023-10-16,SKU_02,Brand_A,BigFizz,Soda,2.6,0.99,537
289,2023-10-16,SKU_03,Brand_B,BigFizz,Soda,1.29,0.65,7293
291,2023-10-16,SKU_05,Brand_C,PopCorp,Soda,1.76,0.91,4566
292,2023-10-16,SKU_06,Brand_D,NatureDrink,Juice,3.07,0.65,67
293,2023-10-16,SKU_07,Brand_E,NatureDrink,Juice,3.45,0.57,18
294,2023-10-23,SKU_01,Brand_A,BigFizz,Soda,1.51,0.73,8674
295,2023-10-23,SKU_02,Brand_A,BigFizz,Soda,2.41,0.87,1043
296,2023-10-23,SKU_03,Brand_B,BigFizz,Soda,1.39,0.69,6927
297,2023-10-23,SKU_04,Brand_C,PopCorp,Soda,1.69,0.95,5823
298,2023-10-23,SKU_05,Brand_C,PopCorp,Soda,1.75,0.89,6663
299,2023-10-23,SKU_06,Brand_D,NatureDrink,Juice,2.96,0.63,115
300,2023-10-23,SKU_07,Brand_E,NatureDrink,Juice,3.74,0.52,6
301,2023-10-30,SKU_01,Brand_A,BigFizz,Soda,1.44,0.67,8659
302,2023-10-30,SKU_02,Brand_A,BigFizz,Soda,2.64,0.83,380
303,2023-10-30,SKU_03,Brand_B,BigFizz,Soda,1.29,0.83,7974
304,2023-10-30,SKU_04,Brand_C,PopCorp,Soda,1.68,0.63,3732
305,2023-10-30,SKU_05,Brand_C,PopCorp,Soda,1.56,0.6,5126
307,2023-10-30,SKU_07,Brand_E,NatureDrink,Juice,3.52,0.52,13
308,2023-11-06,SKU_01,Brand_A,BigFizz,Soda,1.57,0.89,9068
309,2023-11-06,SKU_02,Brand_A,BigFizz,Soda,2.52,0.99,908
310,2023-11-06,SKU_03,Brand_B,BigFizz,Soda,1.52,0.52,3940
311,2023-11-06,SKU_04,Brand_C,PopCorp,Soda,1.67,0.91,7023
312,2023-11-06,SKU_05,Brand_C,PopCorp,Soda,1.51,0.75,9209
314,2023-11-06,SKU_07,Brand_E,NatureDrink,Juice,3.51,0.65,22
315,2023-11-13,SKU_01,Brand_A,BigFizz,Soda,1.59,0.78,8254
317,2023-11-13,SKU_03,Brand_B,BigFizz,Soda,1.3,0.65,8652
318,2023-11-13,SKU_04,Brand_C,PopCorp,Soda,1.72,1.0,6993
319,2023-11-13,SKU_05,Brand_C,PopCorp,Soda,1.67,0.94,6724
320,2023-11-13,SKU_06,Brand_D,NatureDrink,Juice,3.06,0.7,92
321,2023-11-13,SKU_07,Brand_E,NatureDrink,Juice,3.15,0.81,60
322,2023-11-20,SKU_01,Brand_A,BigFizz,Soda,1.37,0.53,8606
323,2023-11-20,SKU_02,Brand_A,BigFizz,Soda,2.6,0.89,465
324,2023-11-20,SKU_03,Brand_B,BigFizz,Soda,1.4,0.72,5626
325,2023-11-20,SKU_04,Brand_C,PopCorp,Soda,1.58,0.54,3641
328,2023-11-20,SKU_07,Brand_E,NatureDrink,Juice,3.7,0.56,20
329,2023-11-27,SKU_01,Brand_A,BigFizz,Soda,1.6,0.59,5255
330,2023-11-27,SKU_02,Brand_A,BigFizz,Soda,2.65,0.73,340
331,2023-11-27,SKU_03,Brand_B,BigFizz,Soda,1.28,0.86,10506
332,2023-11-27,SKU_04,Brand_C,PopCorp,Soda,1.6,0.72,6597
333,2023-11-27,SKU_05,Brand_C,PopCorp,Soda,1.49,0.81,9642
334,2023-11-27,SKU_06,Brand_D,NatureDrink,Juice,2.78,0.88,256
335,2023-11-27,SKU_07,Brand_E,NatureDrink,Juice,3.2,0.53,35
336,2023-12-04,SKU_01,Brand_A,BigFizz,Soda,1.62,0.51,5716
337,2023-12-04,SKU_02,Brand_A,BigFizz,Soda,2.53,0.97,915
339,2023-12-04,SKU_04,Brand_C,PopCorp,Soda,1.75,0.63,4192
340,2023-12-04,SKU_05,Brand_C,PopCorp,Soda,1.65,0.6,4911
342,2023-12-04,SKU_07,Brand_E,NatureDrink,Juice,3.39,0.56,30
343,2023-12-11,SKU_01,Brand_A,BigFizz,Soda,1.47,0.83,14645
344,2023-12-11,SKU_02,Brand_A,BigFizz,Soda,2.52,0.53,474
345,2023-12-11,SKU_03,Brand_B,BigFizz,Soda,1.39,0.53,5780
346,2023-12-11,SKU_04,Brand_C,PopCorp,Soda,1.69,0.6,4181
347,2023-12-11,SKU_05,Brand_C,PopCorp,Soda,1.55,0.88,8921
348,2023-12-11,SKU_06,Brand_D,NatureDrink,Juice,3.01,0.6,78
349,2023-12-11,SKU_07,Brand_E,NatureDrink,Juice,3.47,0.99,54
350,2023-12-18,SKU_01,Brand_A,BigFizz,Soda,1.59,0.79,10880
351,2023-12-18,SKU_02,Brand_A,BigFizz,Soda,2.45,0.96,1166
352,2023-12-18,SKU_03,Brand_B,BigFizz,Soda,1.41,0.58,7326
353,2023-12-18,SKU_04,Brand_C,PopCorp,Soda,1.54,0.93,12343
354,2023-12-18,SKU_05,Brand_C,PopCorp,Soda,1.73,0.64,4588
355,2023-12-18,SKU_06,Brand_D,NatureDrink,Juice,3.24,0.83,102
356,2023-12-18,SKU_07,Brand_E,NatureDrink,Juice,3.26,0.72,69
357,2023-12-25,SKU_01,Brand_A,BigFizz,Soda,1.61,0.91,11742
358,2023-12-25,SKU_02,Brand_A,BigFizz,Soda,2.52,0.86,858
359,2023-12-25,SKU_03,Brand_B,BigFizz,Soda,1.49,0.73,6021
360,2023-12-25,SKU_04,Brand_C,PopCorp,Soda,1.55,0.75,8929
362,2023-12-25,SKU_06,Brand_D,NatureDrink,Juice,3.2,0.55,31
363,2023-12-25,SKU_07,Brand_E,NatureDrink,Juice,3.39,0.73,36
364,2024-01-01,SKU_01,Brand_A,BigFizz,Soda,1.54,0.85,11037
366,2024-01-01,SKU_03,Brand_B,BigFizz,Soda,1.35,0.83,14046
367,2024-01-01,SKU_04,Brand_C,PopCorp,Soda,1.65,0.63,7533
368,2024-01-01,SKU_05,Brand_C,PopCorp,Soda,1.73,0.84,6935
369,2024-01-01,SKU_06,Brand_D,NatureDrink,Juice,2.97,0.73,185
372,2024-01-08,SKU_02,Brand_A,BigFizz,Soda,2.37,0.51,668
373,2024-01-08,SKU_03,Brand_B,BigFizz,Soda,1.43,0.65,7310
374,2024-01-08,SKU_04,Brand_C,PopCorp,Soda,1.54,0.87,12294
376,2024-01-08,SKU_06,Brand_D,NatureDrink,Juice,2.81,0.54,177
377,2024-01-08,SKU_07,Brand_E,NatureDrink,Juice,3.17,0.79,72
378,2024-01-15,SKU_01,Brand_A,BigFizz,Soda,1.53,0.95,17816
379,2024-01-15,SKU_02,Brand_A,BigFizz,Soda,2.57,0.8,660
380,2024-01-15,SKU_03,Brand_B,BigFizz,Soda,1.46,0.62,6215
383,2024-01-15,SKU_06,Brand_D,NatureDrink,Juice,3.0,0.82,79
384,2024-01-15,SKU_07,Brand_E,NatureDrink,Juice,3.2,0.63,34
386,2024-01-22,SKU_02,Brand_A,BigFizz,Soda,2.45,0.54,527
388,2024-01-22,SKU_04,Brand_C,PopCorp,Soda,1.72,0.75,5732
389,2024-01-22,SKU_05,Brand_C,PopCorp,Soda,1.57,0.71,7698
390,2024-01-22,SKU_06,Brand_D,NatureDrink,Juice,2.95,0.95,318
391,2024-01-22,SKU_07,Brand_E,NatureDrink,Juice,3.37,0.91,77
